,cod_reg_rbd,nom_reg_rbd_a,cod_com_rbd,nom_com_rbd,cod_depe2,rural_rbd,cod_ense2,cod_jor,mrun,gen_alu_x,edad_alu,cod_reg_alu,prom_gral,asistencia,codigo_unico,gen_alu_y,anio_ing_carr_ori,tipo_inst_3,_merge
23220,14,RIOS,14101,VALDIVIA,2,0,5,3,24013773,1,17,14,"6,2",87,I90S1C144J1V1,1,2021,Universidades Privadas CRUCH,both
45681,15,AYP,15101,ARICA,2,0,5,3,20729464,1,18,15,"6,6",100,I13S2C13J1V1,1,2021,Universidades Privadas,both
54120,8,BBIO,8103,CHIGUAYANTE,2,0,5,3,22712844,1,17,8,"6,8",96,I93S1C23J1V1,1,2021,Universidades Privadas CRUCH,both
11886,6,LGBO,6301,SAN FERNANDO,2,0,5,3,24988911,1,18,6,"6,9",87,I20S1C37J1V1,1,2021,Universidades Privadas,both
41142,13,RM,13601,TALAGANTE,3,0,5,3,19189806,2,17,13,"6,9",97,I45S2C38J1V1,2,2021,Universidades Privadas,both
34421,13,RM,13110,LA FLORIDA,1,0,5,3,15254483,1,20,13,"6,9",85,I69S1C261J1V1,1,2021,Universidades Privadas CRUCH,both
22058,9,ARAUC,9108,LAUTARO,1,0,5,1,13637596,2,17,9,7,100,I76S1C311J1V1,2,2021,Universidades Estatales CRUCH,both
29264,13,RM,13108,INDEPENDENCIA,3,0,5,3,9535086,1,17,13,"6,4",84,I13S1C9J1V1,1,2021,Universidades Privadas,both
57347,13,RM,13601,TALAGANTE,2,0,7,3,16824557,1,17,5,"6,1",92,I111S15C58J1V1,1,2021,Institutos Profesionales,both
1380,2,ANTOF,2201,CALAMA,1,0,7,3,14892094,1,19,2,"5,6",85,I430S4C325J1V1,1,2021,Centros de Formación Técnica,both
35660,13,RM,13131,SAN RAMÓN,4,0,7,3,21958290,2,17,13,0,0,I2S1C224J1V1,2,2021,Universidades Privadas,both
5747,5,VALPO,5301,LOS ANDES,4,0,7,1,10321130,2,17,5,"6,3",100,I72S2C110J1V1,2,2021,Universidades Estatales CRUCH,both
44662,5,VALPO,5804,VILLA ALEMANA,2,0,5,1,20643737,1,17,5,"6,6",95,I89S1C32J1V2,1,2021,Universidades Privadas CRUCH,both
52944,8,BBIO,8306,NACIMIENTO,2,0,5,3,24938722,1,18,8,"6,1",85,I100S37C304J2V1,1,2021,Institutos Profesionales,both
3605,3,ATCMA,3301,VALLENAR,5,0,5,3,11034100,2,18,3,"6,1",96,I91S2C81J1V2,2,2021,Universidades Privadas CRUCH,both
2059,2,ANTOF,2101,ANTOFAGASTA,1,0,5,3,21937330,1,17,2,"5,5",85,I100S4C150J1V1,1,2021,Institutos Profesionales,both
35937,13,RM,13131,SAN RAMÓN,2,0,5,3,9183875,2,17,13,7,98,I19S4C36J1V1,2,2021,Universidades Privadas,both
47734,4,COQ,4203,LOS VILOS,2,0,5,3,20940961,1,17,4,"4,5",97,I111S21C22J1V1,1,2021,Institutos Profesionales,both
50666,6,LGBO,6301,SAN FERNANDO,2,0,5,3,14795239,2,19,6,6,85,I143S9C92J1V1,2,2021,Institutos Profesionales,both
46395,2,ANTOF,2201,CALAMA,1,0,5,1,19627217,2,17,2,"5,5",85,I143S5C651J2V1,2,2021,Institutos Profesionales,both
52628,8,BBIO,8110,TALCAHUANO,2,0,5,3,15945449,2,17,8,"6,8",100,I87S1C112J1V1,2,2021,Universidades Privadas CRUCH,both
63995,13,RM,13401,SAN BERNARDO,2,0,5,3,15708743,1,17,13,6,90,I111S20C413J1V1,1,2021,Institutos Profesionales,both
49181,5,VALPO,5103,CONCÓN,2,0,5,3,10309019,2,17,5,"6,7",100,I88S1C56J1V1,2,2021,Universidades Privadas CRUCH,both
48150,4,COQ,4102,COQUIMBO,2,0,5,3,23351785,2,17,4,"5,3",95,I4S7C6J1V1,2,2021,Universidades Privadas,both
22995,9,ARAUC,9121,CHOLCHOL,2,0,5,3,13180680,2,17,9,"5,8",100,I143S20C59J1V1,2,2021,Institutos Profesionales,both
64324,13,RM,13125,QUILICURA,2,0,5,3,23849548,2,17,13,"6,4",100,I69S1C1J1V1,2,2021,Universidades Privadas CRUCH,both
28146,13,RM,13108,INDEPENDENCIA,2,0,7,3,22269537,2,18,13,5,74,I218S1C111J1V2,2,2021,Centros de Formación Técnica,both
11347,6,LGBO,6115,RENGO,1,0,5,3,10179254,1,17,6,6,100,I143S9C34J1V1,1,2021,Institutos Profesionales,both
14154,7,MAULE,7401,LINARES,1,0,7,3,13752031,2,17,7,"6,1",86,I92S2C2J1V1,2,2021,Universidades Privadas CRUCH,both
26032,12,MAG,12101,PUNTA ARENAS,1,0,7,3,18340844,2,17,8,"6,4",100,I260S44C84J2V1,2,2021,Centros de Formación Técnica,both
296,15,AYP,15101,ARICA,5,0,5,1,12384903,2,17,15,"6,8",100,I80S1C238J1V4,2,2021,Universidades Estatales CRUCH,both
29676,13,RM,13132,VITACURA,2,0,5,3,24994566,2,17,13,"6,7",100,I23S2C1J1V2,2,2021,Universidades Privadas,both
26575,13,RM,13101,SANTIAGO,1,0,5,1,19957116,2,17,13,"6,9",99,I70S1C21J1V1,2,2021,Universidades Estatales CRUCH,both
56143,14,RIOS,14108,PANGUIPULLI,1,0,5,3,19479193,2,17,14,"6,9",99,I94S1C25J1V1,2,2021,Universidades Privadas CRUCH,both
59789,13,RM,13601,TALAGANTE,3,0,5,3,17643199,2,17,13,"6,9",91,I34S1C226J1V1,2,2021,Universidades Privadas CRUCH,both
32773,13,RM,13113,LA REINA,3,0,5,1,16746813,1,17,13,"6,5",100,I88S4C20J1V1,1,2021,Universidades Privadas CRUCH,both
26258,13,RM,13101,SANTIAGO,1,0,5,1,23300347,1,17,13,"6,9",85,I70S1C64J1V4,1,2021,Universidades Estatales CRUCH,both
52859,8,BBIO,8103,CHIGUAYANTE,2,0,5,1,19805625,2,17,8,"6,2",85,I93S1C25J1V1,2,2021,Universidades Privadas CRUCH,both
54003,16,NUBLE,16101,CHILLÁN,2,0,5,3,16594101,1,17,16,"6,1",85,I100S31C144J2V1,1,2021,Institutos Profesionales,both
4980,4,COQ,4301,OVALLE,2,0,5,1,21267264,1,17,4,"5,9",100,I13S5C31J1V1,1,2021,Universidades Privadas,both
48877,5,VALPO,5103,CONCÓN,2,0,5,3,23832500,2,17,5,"6,8",100,I72S1C4J1V1,2,2021,Universidades Estatales CRUCH,both
32098,13,RM,13114,LAS CONDES,3,0,5,3,15837740,2,17,13,"6,4",100,I34S1C332J1V1,2,2021,Universidades Privadas CRUCH,both
23408,14,RIOS,14106,MARIQUINA,2,0,5,3,17513647,2,17,14,"6,5",93,I90S1C34J1V2,2,2021,Universidades Privadas CRUCH,both
18540,8,BBIO,8110,TALCAHUANO,1,0,5,1,15560724,1,17,8,"6,5",100,I93S1C209J1V1,1,2021,Universidades Privadas CRUCH,both
22205,9,ARAUC,9103,CUNCO,1,0,5,3,18361390,2,18,9,"5,6",85,I94S1C190J1V1,2,2021,Universidades Privadas CRUCH,both
36225,13,RM,13109,LA CISTERNA,2,0,5,3,20313997,2,17,13,"6,9",100,I70S1C161J1V1,2,2021,Universidades Estatales CRUCH,both
5408,4,COQ,4201,ILLAPEL,2,0,5,3,16311144,1,17,4,"6,3",100,I22S1C301J1V1,1,2021,Universidades Privadas,both
66081,13,RM,13302,LAMPA,2,0,5,3,10662831,1,19,13,"5,6",100,I430S10C42J1V2,1,2021,Centros de Formación Técnica,both
26160,12,MAG,12101,PUNTA ARENAS,2,0,5,3,21680788,2,17,12,"5,3",100,I77S1C219J1V1,2,2021,Universidades Estatales CRUCH,both
64149,13,RM,13124,PUDAHUEL,2,0,5,3,23670349,2,17,13,"6,1",85,I143S26C251J1V1,2,2021,Institutos Profesionales,both
23872,14,RIOS,14204,RÍO BUENO,2,0,5,3,23640555,1,17,14,"5,4",100,I90S2C126J1V2,1,2021,Universidades Privadas CRUCH,both
